italian,spanish
e,y
non,no
che,que
di,de
la,la
il,el
un,un
a,a
per,por
è,es
in,en
una,una
mi,me
sono,soy
ho,he
l',el/la
si,se
ha,ha
ma,pero
lo,lo
cosa,cosa
con,con
no,no
le,las
ti,te
se,si
da,de
i,los
come,como
io,yo
ci,nos
hai,has
questo,este
bene,bien
qui,aquí
sei,eres
del,del
tu,tú
solo,solo
mio,mío
al,al
me,mí
tutto,todo
c',ahí
te,ti
era,era
della,de la
mia,mía
fatto,hecho
fare,hacer
essere,ser
so,sé
quando,cuando
sì,sí
ora,ahora
lei,ella
gli,los
ne,de ello
oh,oh
questa,esta
detto,dicho
ok,vale
va,va
perche,por qué
quello,eso
mai,nunca
alla,a la
o,o
anche,también
stato,estado
abbiamo,hemos
tutti,todos
dei,de los
grazie,gracias
chi,quién
sta,está
molto,mucho
più,más
voglio,quiero
perché,porque
tuo,tuyo
beh,pues
sia,sea
nel,en el
lui,él
allora,entonces
posso,puedo
piu,más
ehi,oye
prima,antes
tua,tuya
suo,suyo
niente,nada
qualcosa,algo
sai,sabes
siamo,somos
un',una
cosi,así
davvero,de verdad
ancora,todavía
hanno,tienen
stai,estás
fa,hace
sua,suya
così,así
casa,casa
uno,uno
dove,dónde
su,sobre
vero,verdad
vuoi,quieres
noi,nosotros
due,dos
quindi,así que
dire,decir
d',de
delle,de las
quella,esa
sempre,siempre
altro,otro
sto,estoy
andare,ir
ad,a
po,poco
loro,ellos
devo,debo
quel,ese
forse,quizás
li,los
proprio,propio
certo,cierto
tempo,tiempo
nella,en la
poi,luego
vi,os
credo,creo
vita,vida
cose,cosas
sul,sobre el
quanto,cuánto
puoi,puedes
fuori,fuera
anni,años
cui,cual
andiamo,vamos
dell',del
parte,parte
visto,visto
qualcuno,alguien
all',al
lavoro,trabajo
voi,vosotros
ciao,hola
dio,dios
volta,vez
dopo,después
adesso,ahora
stata,estado
uomo,hombre
padre,padre
devi,debes
bisogno,necesidad
gia,ya
amico,amigo
ed,y
posto,lugar
